Rideshare_Company,Order_Date,Customer_Id,Number_Of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Historical_Unit_Price,Pricing_Model,Supply_By_Demand,"Demand_Profile
(34%-66%-MED)"
HWCO,11/1/25,User_REG_009,56,13,Rural,Regular,36,4.81,Evening,Economy,162,$406.56 ,$2.51 ,CONTRACTED,23.21%,HIGH
HWCO,11/1/25,User_GLD_006,72,33,Rural,Gold,66,4.39,Morning,Premium,30,$182.47 ,$6.08 ,STANDARD,45.83%,MEDIUM
HWCO,11/1/25,User_SIL_013,97,75,Urban,Silver,76,4.7,Night,Economy,158,$652.62 ,$4.13 ,STANDARD,77.32%,LOW
HWCO,11/1/25,User_REG_010,62,33,Suburban,Regular,39,3.91,Evening,Premium,129,$403.23 ,$3.13 ,CONTRACTED,53.23%,MEDIUM
HWCO,11/1/25,User_SIL_014,57,38,Suburban,Silver,54,4.1,Night,Premium,131,$537.78 ,$4.11 ,STANDARD,66.67%,MEDIUM
HWCO,11/1/25,User_SIL_015,25,7,Suburban,Silver,13,3.99,Morning,Premium,81,$286.13 ,$3.53 ,CONTRACTED,28.00%,HIGH
HWCO,11/1/25,User_GLD_007,75,56,Suburban,Gold,94,4.79,Evening,Premium,153,$485.05 ,$3.17 ,CONTRACTED,74.67%,LOW
HWCO,11/2/25,User_GLD_008,39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,$171.09 ,$3.56 ,CONTRACTED,23.08%,HIGH
HWCO,11/2/25,User_GLD_009,35,24,Suburban,Gold,73,3.76,Evening,Premium,105,$485.88 ,$4.63 ,STANDARD,68.57%,LOW
HWCO,11/2/25,User_REG_011,68,32,Suburban,Regular,34,3.58,Morning,Economy,77,$294.73 ,$3.83 ,STANDARD,47.06%,MEDIUM
HWCO,11/2/25,User_SIL_016,96,43,Rural,Silver,97,3.68,Morning,Premium,91,$392.84 ,$4.32 ,STANDARD,44.79%,MEDIUM
HWCO,11/2/25,User_GLD_010,28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,$456.18 ,$4.85 ,STANDARD,39.29%,MEDIUM
HWCO,11/2/25,User_GLD_011,25,15,Rural,Gold,65,4.88,Evening,Premium,101,$502.53 ,$4.98 ,STANDARD,60.00%,MEDIUM
HWCO,11/2/25,User_REG_012,28,6,Suburban,Regular,2,4.29,Morning,Economy,89,$244.22 ,$2.74 ,CONTRACTED,21.43%,HIGH
HWCO,11/2/25,User_REG_013,73,17,Rural,Regular,14,4.81,Evening,Premium,170,$634.73 ,$3.73 ,CONTRACTED,23.29%,HIGH
HWCO,11/2/25,User_SIL_017,36,18,Urban,Silver,88,3.73,Night,Premium,92,$345.41 ,$3.75 ,CONTRACTED,50.00%,MEDIUM
HWCO,11/2/25,User_SIL_018,56,10,Urban,Silver,55,4.5,Night,Economy,45,$151.15 ,$3.36 ,STANDARD,17.86%,HIGH
HWCO,11/2/25,User_REG_014,97,81,Suburban,Regular,52,4.56,Evening,Economy,125,$530.76 ,$4.25 ,CUSTOM,83.51%,LOW
HWCO,11/2/25,User_REG_015,63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,$482.85 ,$2.91 ,CONTRACTED,14.29%,HIGH
HWCO,11/2/25,User_SIL_019,78,33,Urban,Silver,35,4.46,Morning,Premium,116,$355.96 ,$3.07 ,CONTRACTED,42.31%,MEDIUM
HWCO,11/2/25,User_REG_016,29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,$303.96 ,$3.34 ,STANDARD,34.48%,MEDIUM
HWCO,11/2/25,User_SIL_020,73,33,Suburban,Silver,60,3.88,Night,Premium,161,$514.88 ,$3.20 ,CONTRACTED,45.21%,MEDIUM
HWCO,11/2/25,User_REG_017,94,29,Urban,Regular,67,3.59,Evening,Premium,96,$361.13 ,$3.76 ,CONTRACTED,30.85%,HIGH
HWCO,11/2/25,User_SIL_021,54,28,Suburban,Silver,83,4.49,Night,Economy,32,$80.26 ,$2.51 ,CONTRACTED,51.85%,MEDIUM
HWCO,11/2/25,User_GLD_012,67,6,Rural,Gold,15,3.53,Night,Economy,123,$420.62 ,$3.42 ,STANDARD,8.96%,HIGH
HWCO,11/2/25,User_SIL_022,23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,$520.89 ,$4.45 ,CUSTOM,34.78%,MEDIUM
HWCO,11/2/25,User_SIL_023,70,14,Urban,Silver,16,4.3,Morning,Economy,53,$183.08 ,$3.45 ,STANDARD,20.00%,HIGH
HWCO,11/2/25,User_SIL_024,20,10,Rural,Silver,70,4.92,Evening,Economy,65,$190.14 ,$2.93 ,STANDARD,50.00%,MEDIUM
HWCO,11/2/25,User_GLD_013,95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,$522.30 ,$4.66 ,STANDARD,88.42%,LOW
HWCO,11/2/25,User_SIL_025,43,16,Urban,Silver,40,4.89,Night,Premium,106,$410.69 ,$3.87 ,CONTRACTED,37.21%,MEDIUM
HWCO,11/2/25,User_SIL_026,97,55,Suburban,Silver,94,4.62,Evening,Premium,150,$585.00 ,$3.90 ,CONTRACTED,56.70%,MEDIUM
HWCO,11/2/25,User_SIL_027,32,20,Rural,Silver,44,3.55,Night,Economy,68,$301.62 ,$4.44 ,CUSTOM,62.50%,MEDIUM
HWCO,11/2/25,User_REG_018,95,25,Suburban,Regular,72,4.16,Morning,Premium,128,$413.59 ,$3.23 ,CONTRACTED,26.32%,HIGH
HWCO,11/2/25,User_GLD_014,47,15,Urban,Gold,14,4.84,Night,Economy,89,$273.12 ,$3.07 ,STANDARD,31.91%,HIGH
HWCO,11/2/25,User_SIL_028,25,11,Rural,Silver,33,3.85,Night,Economy,94,$247.17 ,$2.63 ,CONTRACTED,44.00%,MEDIUM
HWCO,11/2/25,User_REG_019,37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,$213.44 ,$3.09 ,STANDARD,59.46%,MEDIUM
HWCO,11/2/25,User_GLD_015,59,39,Suburban,Gold,49,3.78,Morning,Premium,98,$295.79 ,$3.02 ,CONTRACTED,66.10%,MEDIUM
HWCO,11/2/25,User_SIL_029,42,20,Urban,Silver,88,4.64,Night,Premium,29,$145.07 ,$5.00 ,STANDARD,47.62%,MEDIUM
HWCO,11/2/25,User_REG_020,53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,$297.02 ,$3.67 ,CONTRACTED,20.75%,HIGH
HWCO,11/2/25,User_REG_021,79,64,Rural,Regular,91,4.57,Night,Economy,164,$666.69 ,$4.07 ,STANDARD,81.01%,LOW
HWCO,11/2/25,User_GLD_307,82,26,Urban,Gold,35,4.71,Morning,Economy,114,$289.24 ,$2.54 ,CONTRACTED,31.71%,HIGH
HWCO,11/2/25,User_GLD_308,54,39,Rural,Gold,88,4.59,Evening,Economy,42,$147.43 ,$3.51 ,STANDARD,72.22%,LOW
HWCO,11/3/25,User_GLD_016,59,23,Urban,Gold,41,4.97,Evening,Premium,91,$449.55 ,$4.94 ,STANDARD,38.98%,MEDIUM
HWCO,11/3/25,User_REG_022,40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,$624.99 ,$4.25 ,CUSTOM,72.50%,LOW
HWCO,11/3/25,User_SIL_030,76,40,Suburban,Silver,77,4.17,Morning,Economy,28,$96.04 ,$3.43 ,STANDARD,52.63%,MEDIUM
HWCO,11/3/25,User_REG_023,41,26,Urban,Regular,96,3.91,Night,Economy,169,$637.76 ,$3.77 ,STANDARD,63.41%,MEDIUM
HWCO,11/3/25,User_REG_024,83,14,Urban,Regular,80,4.77,Night,Premium,64,$295.59 ,$4.62 ,STANDARD,16.87%,HIGH
HWCO,11/3/25,User_REG_025,44,17,Rural,Regular,15,4,Evening,Economy,98,$353.34 ,$3.61 ,STANDARD,38.64%,MEDIUM
HWCO,11/3/25,User_GLD_017,91,73,Urban,Gold,61,4.39,Night,Economy,15,$62.25 ,$4.15 ,STANDARD,80.22%,LOW
HWCO,11/3/25,User_REG_026,54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,$266.07 ,$3.97 ,CONTRACTED,29.63%,HIGH
HWCO,11/3/25,User_SIL_031,59,37,Rural,Silver,86,4.67,Night,Premium,95,$340.13 ,$3.58 ,CONTRACTED,62.71%,MEDIUM
HWCO,11/3/25,User_GLD_018,72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,$443.26 ,$3.36 ,STANDARD,59.72%,MEDIUM
HWCO,11/3/25,User_GLD_019,47,9,Rural,Gold,49,4.44,Evening,Economy,96,$265.06 ,$2.76 ,CONTRACTED,19.15%,HIGH
HWCO,11/3/25,User_SIL_032,32,22,Rural,Silver,49,4.65,Night,Economy,60,$221.43 ,$3.69 ,STANDARD,68.75%,LOW
HWCO,11/3/25,User_REG_027,45,13,Rural,Regular,96,4.84,Night,Economy,112,$393.23 ,$3.51 ,STANDARD,28.89%,HIGH
HWCO,11/3/25,User_SIL_033,72,45,Urban,Silver,82,4.42,Night,Premium,40,$151.58 ,$3.79 ,CONTRACTED,62.50%,MEDIUM
HWCO,11/3/25,User_GLD_020,56,15,Urban,Gold,34,4.72,Night,Premium,78,$314.00 ,$4.03 ,CONTRACTED,26.79%,HIGH
HWCO,11/3/25,User_SIL_034,42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,$366.15 ,$4.47 ,STANDARD,52.38%,MEDIUM
HWCO,11/3/25,User_SIL_035,52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,$425.97 ,$4.35 ,STANDARD,26.92%,HIGH
HWCO,11/3/25,User_GLD_021,81,23,Urban,Gold,39,4.3,Evening,Economy,143,$359.05 ,$2.51 ,CONTRACTED,28.40%,HIGH
HWCO,11/3/25,User_REG_028,77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,$260.34 ,$5.01 ,STANDARD,32.47%,HIGH
HWCO,11/3/25,User_GLD_022,27,6,Urban,Gold,2,4.42,Night,Economy,86,$320.30 ,$3.72 ,STANDARD,22.22%,HIGH
HWCO,11/3/25,User_REG_029,74,34,Rural,Regular,18,4.66,Morning,Premium,140,$454.49 ,$3.25 ,CONTRACTED,45.95%,MEDIUM
HWCO,11/3/25,User_SIL_036,92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,$45.12 ,$2.51 ,CONTRACTED,75.00%,LOW
HWCO,11/3/25,User_GLD_023,77,34,Rural,Gold,33,4.13,Night,Premium,48,$223.66 ,$4.66 ,STANDARD,44.16%,MEDIUM
HWCO,11/3/25,User_REG_030,66,6,Rural,Regular,23,4.2,Evening,Economy,45,$173.16 ,$3.85 ,STANDARD,9.09%,HIGH
HWCO,11/3/25,User_REG_031,77,39,Urban,Regular,23,4.29,Morning,Economy,167,$592.24 ,$3.55 ,STANDARD,50.65%,MEDIUM
HWCO,11/3/25,User_REG_032,35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,$379.31 ,$3.36 ,CONTRACTED,45.71%,MEDIUM
HWCO,11/3/25,User_GLD_024,48,38,Rural,Gold,40,3.7,Evening,Premium,80,$360.71 ,$4.51 ,STANDARD,79.17%,LOW
HWCO,11/3/25,User_GLD_025,61,18,Rural,Gold,84,3.93,Evening,Premium,58,$203.49 ,$3.51 ,CONTRACTED,29.51%,HIGH
HWCO,11/3/25,User_SIL_037,71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,$553.55 ,$4.39 ,STANDARD,29.58%,HIGH
HWCO,11/3/25,User_GLD_026,95,7,Rural,Gold,40,4.68,Evening,Economy,95,$283.47 ,$2.98 ,STANDARD,7.37%,HIGH
HWCO,11/3/25,User_GLD_027,76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,$435.15 ,$4.14 ,STANDARD,57.89%,MEDIUM
HWCO,11/3/25,User_REG_033,32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,$685.77 ,$4.40 ,CUSTOM,40.63%,MEDIUM
HWCO,11/3/25,User_SIL_038,49,30,Rural,Silver,57,4.83,Evening,Economy,154,$630.86 ,$4.10 ,STANDARD,61.22%,MEDIUM
HWCO,11/4/25,User_SIL_039,38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,$546.16 ,$3.96 ,CONTRACTED,44.74%,MEDIUM
HWCO,11/4/25,User_REG_034,92,35,Suburban,Regular,46,4.72,Morning,Economy,45,$115.36 ,$2.56 ,CONTRACTED,38.04%,MEDIUM
HWCO,11/4/25,User_SIL_040,40,29,Suburban,Silver,26,4.26,Night,Economy,152,$404.05 ,$2.66 ,CONTRACTED,72.50%,LOW
HWCO,11/4/25,User_SIL_041,55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,$156.04 ,$3.47 ,STANDARD,76.36%,LOW
HWCO,11/4/25,User_GLD_028,58,34,Rural,Gold,19,4.55,Morning,Premium,131,$501.26 ,$3.83 ,CONTRACTED,58.62%,MEDIUM
HWCO,11/4/25,User_REG_035,34,5,Urban,Regular,26,4.85,Evening,Premium,152,$562.44 ,$3.70 ,CONTRACTED,14.71%,HIGH
HWCO,11/4/25,User_SIL_042,70,47,Suburban,Silver,3,3.66,Morning,Premium,53,$216.80 ,$4.09 ,STANDARD,67.14%,LOW
HWCO,11/4/25,User_GLD_029,51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,$120.09 ,$7.51 ,STANDARD,47.06%,MEDIUM
HWCO,11/4/25,User_REG_036,88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,$221.16 ,$3.69 ,STANDARD,63.64%,MEDIUM
HWCO,11/4/25,User_SIL_043,25,8,Suburban,Silver,83,3.53,Evening,Economy,121,$492.70 ,$4.07 ,STANDARD,32.00%,HIGH
HWCO,11/4/25,User_REG_037,34,19,Rural,Regular,51,4.2,Night,Premium,166,$754.23 ,$4.54 ,STANDARD,55.88%,MEDIUM
HWCO,11/4/25,User_REG_038,40,15,Urban,Regular,90,3.62,Night,Premium,42,$211.53 ,$5.04 ,STANDARD,37.50%,MEDIUM
HWCO,11/4/25,User_GLD_030,26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,$460.76 ,$2.86 ,CONTRACTED,26.92%,HIGH
HWCO,11/4/25,User_REG_039,81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,$164.11 ,$3.49 ,STANDARD,51.85%,MEDIUM
HWCO,11/4/25,User_GLD_031,80,56,Suburban,Gold,63,4.57,Night,Premium,43,$213.70 ,$4.97 ,STANDARD,70.00%,LOW
HWCO,11/4/25,User_GLD_032,64,19,Rural,Gold,86,4.68,Night,Premium,171,$732.99 ,$4.29 ,STANDARD,29.69%,HIGH
HWCO,11/4/25,User_GLD_033,45,18,Rural,Gold,68,4.07,Morning,Economy,136,$350.60 ,$2.58 ,CONTRACTED,40.00%,MEDIUM
HWCO,11/4/25,User_REG_040,84,49,Urban,Regular,32,4.25,Night,Premium,53,$192.88 ,$3.64 ,CONTRACTED,58.33%,MEDIUM
HWCO,11/4/25,User_SIL_044,34,16,Urban,Silver,47,4.12,Evening,Economy,93,$294.12 ,$3.16 ,STANDARD,47.06%,MEDIUM
HWCO,11/4/25,User_REG_041,67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,$82.52 ,$6.35 ,STANDARD,47.76%,MEDIUM
HWCO,11/4/25,User_SIL_045,93,23,Suburban,Silver,34,4.23,Evening,Premium,125,$386.17 ,$3.09 ,CONTRACTED,24.73%,HIGH
HWCO,11/4/25,User_SIL_046,100,51,Urban,Silver,56,3.58,Night,Economy,89,$310.90 ,$3.49 ,STANDARD,51.00%,MEDIUM
HWCO,11/4/25,User_GLD_034,35,22,Suburban,Gold,15,4.23,Morning,Premium,120,$373.96 ,$3.12 ,CONTRACTED,62.86%,MEDIUM
HWCO,11/4/25,User_SIL_047,36,13,Rural,Silver,31,4.71,Night,Economy,71,$221.55 ,$3.12 ,STANDARD,36.11%,MEDIUM
HWCO,11/4/25,User_REG_042,28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,$531.11 ,$4.18 ,STANDARD,64.29%,MEDIUM
HWCO,11/4/25,User_GLD_035,21,9,Urban,Gold,10,3.88,Morning,Premium,108,$324.94 ,$3.01 ,CONTRACTED,42.86%,MEDIUM
HWCO,11/4/25,User_REG_043,26,15,Urban,Regular,35,5,Morning,Premium,161,$493.41 ,$3.06 ,CONTRACTED,57.69%,MEDIUM
HWCO,11/4/25,User_REG_044,97,21,Suburban,Regular,59,3.87,Evening,Premium,174,$778.63 ,$4.47 ,STANDARD,21.65%,HIGH
HWCO,11/4/25,User_SIL_048,26,15,Urban,Silver,10,3.71,Morning,Premium,171,$720.16 ,$4.21 ,STANDARD,57.69%,MEDIUM
HWCO,11/4/25,User_GLD_036,91,56,Urban,Gold,17,4.66,Night,Economy,10,$38.24 ,$3.82 ,STANDARD,61.54%,MEDIUM
HWCO,11/4/25,User_SIL_049,65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,$573.59 ,$4.10 ,STANDARD,73.85%,LOW
HWCO,11/4/25,User_GLD_037,88,28,Urban,Gold,22,4.99,Night,Premium,154,$682.02 ,$4.43 ,STANDARD,31.82%,HIGH
HWCO,11/4/25,User_GLD_038,82,13,Suburban,Gold,32,3.58,Night,Economy,148,$516.44 ,$3.49 ,STANDARD,15.85%,HIGH
HWCO,11/5/25,User_SIL_050,65,40,Urban,Silver,48,3.59,Evening,Economy,121,$492.52 ,$4.07 ,STANDARD,61.54%,MEDIUM
HWCO,11/5/25,User_SIL_051,41,6,Urban,Silver,56,4.32,Night,Economy,11,$49.23 ,$4.48 ,CUSTOM,14.63%,HIGH
HWCO,11/5/25,User_SIL_052,85,36,Rural,Silver,64,4.32,Evening,Economy,152,$506.69 ,$3.33 ,STANDARD,42.35%,MEDIUM
HWCO,11/5/25,User_SIL_053,35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,$304.31 ,$3.27 ,STANDARD,37.14%,MEDIUM
HWCO,11/5/25,User_SIL_054,83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,$111.18 ,$4.83 ,STANDARD,34.94%,MEDIUM
HWCO,11/5/25,User_REG_045,91,31,Urban,Regular,12,4.39,Night,Economy,39,$163.21 ,$4.18 ,STANDARD,34.07%,MEDIUM
HWCO,11/5/25,User_REG_046,44,28,Rural,Regular,31,4.92,Night,Premium,132,$402.86 ,$3.05 ,CONTRACTED,63.64%,MEDIUM
HWCO,11/5/25,User_GLD_039,96,12,Suburban,Gold,15,4.97,Night,Economy,90,$289.24 ,$3.21 ,STANDARD,12.50%,HIGH
HWCO,11/5/25,User_REG_047,77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,$150.54 ,$6.02 ,STANDARD,59.74%,MEDIUM
HWCO,11/5/25,User_GLD_040,91,80,Rural,Gold,74,4.74,Night,Economy,46,$194.94 ,$4.24 ,CUSTOM,87.91%,LOW
HWCO,11/5/25,User_SIL_055,93,42,Rural,Silver,75,4.66,Morning,Economy,160,$674.65 ,$4.22 ,CUSTOM,45.16%,MEDIUM
HWCO,11/5/25,User_SIL_056,41,9,Rural,Silver,73,3.51,Morning,Economy,150,$551.56 ,$3.68 ,STANDARD,21.95%,HIGH
HWCO,11/5/25,User_REG_048,61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,$132.21 ,$2.54 ,CONTRACTED,72.13%,LOW
HWCO,11/5/25,User_GLD_041,83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,$70.11 ,$3.05 ,STANDARD,12.05%,HIGH
HWCO,11/5/25,User_REG_049,59,22,Rural,Regular,79,4.38,Morning,Premium,93,$346.28 ,$3.72 ,CONTRACTED,37.29%,MEDIUM
HWCO,11/5/25,User_GLD_042,42,31,Suburban,Gold,62,4.95,Night,Premium,13,$102.04 ,$7.85 ,STANDARD,73.81%,LOW
HWCO,11/5/25,User_REG_050,81,16,Suburban,Regular,73,4.89,Night,Economy,125,$494.14 ,$3.95 ,STANDARD,19.75%,HIGH
HWCO,11/5/25,User_GLD_043,72,19,Rural,Gold,89,4.74,Morning,Premium,45,$183.66 ,$4.08 ,STANDARD,26.39%,HIGH
HWCO,11/5/25,User_SIL_057,43,9,Rural,Silver,2,4.12,Morning,Economy,126,$436.56 ,$3.46 ,STANDARD,20.93%,HIGH
HWCO,11/5/25,User_SIL_058,74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,$31.36 ,$3.14 ,STANDARD,44.59%,MEDIUM
HWCO,11/5/25,User_SIL_059,68,45,Rural,Silver,65,4.19,Evening,Economy,112,$323.48 ,$2.89 ,CONTRACTED,66.18%,MEDIUM
HWCO,11/5/25,User_SIL_060,36,13,Urban,Silver,84,4.88,Evening,Premium,140,$505.38 ,$3.61 ,CONTRACTED,36.11%,MEDIUM
HWCO,11/5/25,User_GLD_044,51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,$320.86 ,$3.49 ,CONTRACTED,9.80%,HIGH
HWCO,11/5/25,User_SIL_061,63,23,Urban,Silver,48,4.09,Evening,Economy,49,$214.57 ,$4.38 ,CUSTOM,36.51%,MEDIUM
HWCO,11/5/25,User_REG_051,96,29,Urban,Regular,84,3.65,Night,Economy,176,$758.50 ,$4.31 ,CUSTOM,30.21%,HIGH
HWCO,11/5/25,User_REG_052,94,59,Suburban,Regular,84,4.38,Morning,Premium,175,$665.73 ,$3.80 ,CONTRACTED,62.77%,MEDIUM
HWCO,11/5/25,User_REG_053,74,32,Suburban,Regular,2,4.7,Evening,Premium,38,$171.07 ,$4.50 ,STANDARD,43.24%,MEDIUM
HWCO,11/5/25,User_SIL_062,91,13,Rural,Silver,32,3.6,Morning,Premium,160,$647.35 ,$4.05 ,STANDARD,14.29%,HIGH
HWCO,11/5/25,User_REG_054,69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,$608.13 ,$3.85 ,CONTRACTED,17.39%,HIGH
HWCO,11/5/25,User_SIL_063,51,20,Rural,Silver,57,3.68,Night,Economy,67,$246.92 ,$3.69 ,STANDARD,39.22%,MEDIUM
HWCO,11/5/25,User_GLD_045,45,17,Rural,Gold,10,4.93,Night,Premium,148,$430.07 ,$2.91 ,CONTRACTED,37.78%,MEDIUM
HWCO,11/5/25,User_REG_055,92,34,Suburban,Regular,98,3.99,Night,Economy,140,$396.64 ,$2.83 ,CONTRACTED,36.96%,MEDIUM
HWCO,11/5/25,User_GLD_046,69,36,Suburban,Gold,55,4.74,Morning,Economy,109,$436.01 ,$4.00 ,STANDARD,52.17%,MEDIUM
HWCO,11/6/25,User_SIL_064,56,14,Suburban,Silver,30,3.67,Night,Economy,48,$202.95 ,$4.23 ,CUSTOM,25.00%,HIGH
HWCO,11/6/25,User_REG_056,43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,$731.78 ,$4.18 ,STANDARD,60.47%,MEDIUM
HWCO,11/6/25,User_SIL_065,86,48,Urban,Silver,37,4.15,Night,Economy,84,$216.05 ,$2.57 ,CONTRACTED,55.81%,MEDIUM
HWCO,11/6/25,User_GLD_047,61,34,Urban,Gold,82,3.99,Night,Premium,10,$83.87 ,$8.39 ,CUSTOM,55.74%,MEDIUM
HWCO,11/6/25,User_GLD_048,50,36,Suburban,Gold,18,4.61,Night,Economy,145,$572.24 ,$3.95 ,STANDARD,72.00%,LOW
HWCO,11/6/25,User_REG_057,73,34,Urban,Regular,95,4.31,Morning,Premium,21,$118.81 ,$5.66 ,STANDARD,46.58%,MEDIUM
HWCO,11/6/25,User_GLD_049,76,7,Urban,Gold,76,4.35,Morning,Economy,72,$245.89 ,$3.42 ,STANDARD,9.21%,HIGH
